finding_id,rule,file,line,annotator_verdict,justification
pqc-ea4037de,R01,embedded/esp32_pio/src/aes256ctr.c,17,TP,Small buffer/macro identified for potentially asymmetric key material.
pqc-6856bbca,R02,embedded/esp32_pio/src/aes256ctr.c,19,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-69ac64a4,R04,embedded/esp32_pio/src/aes256ctr.c,24,TP,Return value of cryptographic operation unchecked.
pqc-cde3bc8d,R04,embedded/esp32_pio/src/aes256ctr.c,39,TP,Return value of cryptographic operation unchecked.
pqc-442169f1,R01,embedded/esp32_pio/src/aes256ctr.h,16,TP,Small buffer/macro identified for potentially asymmetric key material.
pqc-2c87e88c,R03,embedded/esp32_pio/src/main.cpp,30,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-23fd03a5,R03,embedded/esp32_pio/src/main.cpp,31,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-16b699d5,R03,embedded/esp32_pio/src/main.cpp,32,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-fdf858c1,R02,embedded/esp32_pio/src/main.cpp,130,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-3d3bf67f,R02,embedded/esp32_pio/src/main.cpp,131,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-66f1bf5d,R02,embedded/esp32_pio/src/main.cpp,132,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-5af1ad5c,R02,embedded/esp32_pio/src/main.cpp,133,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-61a02e83,R02,embedded/esp32_pio/src/main.cpp,134,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-cdae8c38,R02,embedded/esp32_pio/src/main.cpp,135,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-7e9b8c68,R04,embedded/esp32_pio/src/main.cpp,489,TP,Return value of cryptographic operation unchecked.
pqc-7bb73606,R01,embedded/esp32_pio/src/main.cpp,710,TP,Small buffer/macro identified for potentially asymmetric key material.
pqc-1d97c184,R04,embedded/esp32_pio/src/main.cpp,930,TP,Return value of cryptographic operation unchecked.
pqc-22cc0053,R05,embedded/esp32_pio/src/main.cpp,930,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-82503358,R04,embedded/esp32_pio/src/main.cpp,949,TP,Return value of cryptographic operation unchecked.
pqc-399c90fc,R05,embedded/esp32_pio/src/main.cpp,949,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-6151f22d,R05,embedded/esp32_pio/src/main.cpp,967,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-3776152c,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,15,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-98b1b650,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,40,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-89115d47,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,65,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-16fdd7d5,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,68,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-a73b323a,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,114,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-1612faf0,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,118,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
pqc-9082487b,R03,embedded/esp32_pio/src/dilithium_internal/packing.c,156,TP,"Algorithm-specific logic, return contract violation, or stack/heap check identified."
