comparison,gemini_label,gpt55_label,count
gemini vs gpt55,D9,D2,11
gemini vs gpt55,D9,D8,7
gemini vs gpt55,D9,D7,4
gemini vs gpt55,D8,D2,2
gemini vs gpt55,D1,D7,2
gemini vs gpt55,D6,D1,1
gemini vs gpt55,D1,D9,1
gemini vs gpt55,D4,D6,1
gemini vs gpt55,D5,D2,1
gemini vs gpt55,D5,D6,1
gemini vs gpt55,D8,D4,1
gemini vs gpt55,D4,D5,1
gemini vs gpt55,D5,D7,1
gemini vs gpt55,D9,D4,1
gemini vs deepseek,D9,,10
gemini vs deepseek,D8,,8
gemini vs deepseek,D2,,8
gemini vs deepseek,D9,,4
gemini vs deepseek,D4,,3
gemini vs deepseek,D2,,2
gemini vs deepseek,D1,,2
gemini vs deepseek,D8,,2
gemini vs deepseek,D9,,2
gemini vs deepseek,D1,,1
gemini vs deepseek,D5,,1
gemini vs deepseek,D5,,1
gemini vs deepseek,D8,,1
gemini vs deepseek,D4,,1
gemini vs deepseek,D7,,1
gemini vs deepseek,D8,,1
gemini vs deepseek,D5,,1
gemini vs deepseek,D9,,1
gemini vs claude,D9,,6
gemini vs claude,D9,,6
gemini vs claude,D8,,5
gemini vs claude,D2,,3
gemini vs claude,D8,,2
gemini vs claude,D1,,2
gemini vs claude,D1,,1
gemini vs claude,D8,,1
gemini vs claude,D9,,1
gemini vs claude,D4,,1
gemini vs claude,D5,,1
gemini vs claude,D9,,1
gemini vs claude,D4,,1
gemini vs claude,D7,,1
gemini vs claude,D5,,1
gemini vs claude,D9,,1
gpt55 vs deepseek,,D8,13
gpt55 vs deepseek,,D2,11
gpt55 vs deepseek,,D7,3
gpt55 vs deepseek,,D2,3
gpt55 vs deepseek,,D4,3
gpt55 vs deepseek,,D9,2
gpt55 vs deepseek,,D9,2
gpt55 vs deepseek,,D1,1
gpt55 vs deepseek,,D6,1
gpt55 vs deepseek,,D7,1
gpt55 vs deepseek,,D8,1
gpt55 vs deepseek,,D8,1
gpt55 vs claude,,D8,9
gpt55 vs claude,,D2,9
gpt55 vs claude,,D7,3
gpt55 vs claude,,D9,3
gpt55 vs claude,,D8,1
gpt55 vs claude,,D1,1
gpt55 vs claude,,D9,1
gpt55 vs claude,,D7,1
gpt55 vs claude,,D2,1
gpt55 vs claude,,D2,1
deepseek vs claude,,,9
deepseek vs claude,,,8
deepseek vs claude,,,7
deepseek vs claude,,,4
deepseek vs claude,,,4
deepseek vs claude,,,2
deepseek vs claude,,,1
deepseek vs claude,,,1
deepseek vs claude,,,1
deepseek vs claude,,,1
deepseek vs claude,,,1
deepseek vs claude,,,1
deepseek vs claude,,,1
