finding_id,rule,file,line,matched_text,annotator_verdict,justification
grep-280552af,R01,embedded\esp32_pio\src\aes256ctr.c,17,"void dilithium_aes256ctr_init(aes256ctr_ctx *state, const uint8_t key[32], uint16_t nonce) {",FP,Symmetric key buffers do not require expansion for PQC.
grep-9d018671,R04,embedded\esp32_pio\src\aes256ctr.c,23,mbedtls_aes_init(aes);,TP,Return value of cryptographic operation unchecked.
grep-c8693f16,R04,embedded\esp32_pio\src\aes256ctr.c,24,"mbedtls_aes_setkey_enc(aes, key, 256);",TP,Return value of cryptographic operation unchecked.
grep-7050b658,R01,embedded\esp32_pio\src\aes256ctr.c,29,state->counter[14] = (uint8_t)(nonce & 0xff);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-869f84ce,R01,embedded\esp32_pio\src\aes256ctr.c,30,state->counter[15] = (uint8_t)(nonce >> 8);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d74801b6,R04,embedded\esp32_pio\src\aes256ctr.c,39,"mbedtls_aes_crypt_ecb(aes, MBEDTLS_AES_ENCRYPT, state->counter, state->buffer);",TP,Return value of cryptographic operation unchecked.
grep-11cfd5bb,R04,embedded\esp32_pio\src\aes256ctr.c,50,mbedtls_aes_free(aes);,FP,Cleanup/free functions do not require error checking.
grep-b1d80592,R01,embedded\esp32_pio\src\aes256ctr.h,7,#define AES256CTR_BLOCKBYTES 16,FP,Symmetric key buffers do not require expansion for PQC.
grep-f99d2a5e,R01,embedded\esp32_pio\src\aes256ctr.h,16,"void aes256ctr_init(aes256ctr_ctx *state, const uint8_t key[32], uint16_t nonce);",FP,Symmetric key buffers do not require expansion for PQC.
grep-793a96d1,R05,embedded\esp32_pio\src\main.cpp,25,#define DILITHIUM_KEYPAIR DILITHIUM_NAMESPACE(keypair),TP,Algorithm-specific API call used instead of agile interface.
grep-20aa83f6,R05,embedded\esp32_pio\src\main.cpp,26,#define DILITHIUM_SIGNATURE DILITHIUM_NAMESPACE(signature),TP,Algorithm-specific API call used instead of agile interface.
grep-409ddbe8,R05,embedded\esp32_pio\src\main.cpp,27,#define DILITHIUM_VERIFY DILITHIUM_NAMESPACE(verify),TP,Algorithm-specific API call used instead of agile interface.
grep-8ca8d082,R04,embedded\esp32_pio\src\main.cpp,65,mbedtls_entropy_init(&entropy);,TP,Return value of cryptographic operation unchecked.
grep-786add17,R04,embedded\esp32_pio\src\main.cpp,66,mbedtls_ctr_drbg_init(&ctr_drbg);,TP,Return value of cryptographic operation unchecked.
grep-0aeb6b3b,R04,embedded\esp32_pio\src\main.cpp,238,mbedtls_ecdsa_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-355bcb77,R04,embedded\esp32_pio\src\main.cpp,254,mbedtls_ecdsa_free(&ctx);,FP,Cleanup/free functions do not require error checking.
grep-ac8bc37d,R01,embedded\esp32_pio\src\main.cpp,259,uint8_t hash[32] = { 0xAA };,FP,Hash/MAC buffers do not require expansion for PQC.
grep-7d6d627e,R04,embedded\esp32_pio\src\main.cpp,261,mbedtls_mpi_init(&r);,TP,Return value of cryptographic operation unchecked.
grep-19cdac65,R04,embedded\esp32_pio\src\main.cpp,262,mbedtls_mpi_init(&s);,TP,Return value of cryptographic operation unchecked.
grep-6ea5ec9d,R04,embedded\esp32_pio\src\main.cpp,293,mbedtls_mpi_free(&r);,FP,Cleanup/free functions do not require error checking.
