finding_id,rule,file,line,message,assisted_verdict,confidence,rationale,review_method
liboqs_000,R07,src/sig/uov/pqov_ov_Is_pkc_neon/ov.c,180,Return contract violation: variable 'r' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_001,R03,src/sig/snova/snova_SNOVA_37_17_2_neon/snova_plasma_vec_gnl_verify.h,199,Stack-allocated crypto buffer 'hash_in_bytes' of large size (bytes_hash) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_002,R07,src/sig/uov/pqov_ov_Ip_avx2/sign.c,40,Return contract violation: variable 'r' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_003,R03,src/sig/snova/snova_SNOVA_25_8_3_avx2/snova_kernel.h,158,Stack-allocated crypto buffer 'prng_output_private' of large size (bytes_prng_private) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_004,R03,src/kem/kyber/oldpqclean_kyber768_aarch64/indcpa.c,292,Stack-allocated crypto buffer 'pkpv' of large size (KYBER_K) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_005,R07,src/kem/classic_mceliece/pqclean_mceliece8192128f_avx2/crypto_uint16.c,35,Return contract violation: variable 'crypto_uint16_z' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_006,R05,src/kem/classic_mceliece/kem_classic_mceliece_460896f.c,62,Direct call to algorithm-specific API 'PQCLEAN_MCELIECE460896F_CLEAN_crypto_kem_keypair'.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_007,R04,src/sig/slh_dsa/wrappers/prehash_sha3_256/slh_dsa_sha3_256_prehash_shake_128f.c,96,Return value of cryptographic function 'OQS_randombytes' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
liboqs_008,R01,src/sig/mqom/mqom_mqom_common/rijndael.h,782,Hardcoded key array size (16 bytes) for 'cipherText3' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_009,R03,src/sig/mqom/mqom_mqom_common/seed_commit_memopt.h,210,Stack-allocated crypto buffer 'seed1' of large size (MQOM2_PARAM_SEED_SIZE) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_010,R07,src/sig/uov/pqov_ov_Ip_avx2/ov.c,218,Return contract violation: variable 'rc' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
liboqs_011,R01,src/sig/mqom/mqom_mqom_common/enc_local.h,735,Hardcoded key array size (24 bytes) for 'ct1' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
liboqs_012,R03,src/kem/ml_kem/mlkem-native_ml-kem-1024_ref/mlkem/src/poly_k.c,415,Stack-allocated crypto buffer 'seed' of large size (MLKEM_SYMBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_013,R03,src/sig/ml_dsa/mldsa-native_ml-dsa-65_ref/mldsa/src/poly_kl.c,477,Stack-allocated crypto buffer 'seed' of large size (MLDSA_CRHBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_014,R03,src/kem/ml_kem/mlkem-native_ml-kem-1024_ref/mlkem/src/indcpa.c,78,Stack-allocated crypto buffer 'seed' of large size (MLKEM_SYMBYTES) detected.,REVIEW,low,Deployment-dependent stack/heap finding; requires target memory budget or platform policy.,deterministic_external_assisted_triage
liboqs_015,R01,src/sig/mqom/mqom_mqom_common/rijndael.h,743,Hardcoded key array size (32 bytes) for 'key2' is insufficient for PQC.,TP,medium,Key/signature/ciphertext buffer context is migration-relevant.,deterministic_external_assisted_triage
