finding_id,rule,file,line,message,suggested_triage,rationale,requires_human_review
mbedtls_000,R01,embedded\mbedtls\configs\config-ccm-psk-dtls1_2.h,61,Hardcoded key/buffer size macro 'MBEDTLS_PSK_MAX_LEN' value (16) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_001,R01,embedded\mbedtls\configs\crypto-config-suite-b.h,37,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_AES' value (1) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_002,R01,embedded\mbedtls\configs\crypto-config-thread.h,31,Hardcoded key/buffer size macro 'PSA_WANT_ALG_HMAC' value (1) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_003,R01,embedded\mbedtls\include\mbedtls\ssl.h,468,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HASH_MD5' value (1) is below PQC minimum requirements.,requires_manual_inspection,Cannot classify from finding metadata alone; inspect source context.,True
mbedtls_004,R01,embedded\mbedtls\library\ssl_cookie.c,47,Hardcoded key/buffer size macro 'COOKIE_HMAC_LEN' value (28) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_005,R01,embedded\mbedtls\library\ssl_misc.h,72,Hardcoded key/buffer size macro 'MBEDTLS_SSL_EXT_ID_SIG_ALG' value (5) is below PQC minimum requirements.,requires_manual_inspection,Cannot classify from finding metadata alone; inspect source context.,True
mbedtls_006,R01,embedded\mbedtls\library\ssl_misc.h,88,Hardcoded key/buffer size macro 'MBEDTLS_SSL_EXT_ID_SIG_ALG_CERT' value (21) is below PQC minimum requirements.,requires_manual_inspection,Cannot classify from finding metadata alone; inspect source context.,True
mbedtls_007,R01,embedded\mbedtls\tests\include\test\ssl_helpers.h,189,Hardcoded key/buffer size macro 'MBEDTLS_MOCK_SOCKET_CONNECTED' value (1) is below PQC minimum requirements.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_008,R02,embedded\mbedtls\library\mps_reader.c,302,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_009,R02,embedded\mbedtls\library\ssl_client.c,253,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_010,R02,embedded\mbedtls\library\ssl_tls12_client.c,1912,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_011,R02,embedded\mbedtls\library\ssl_tls12_client.c,2077,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_012,R02,embedded\mbedtls\library\ssl_tls12_server.c,1158,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_013,R02,embedded\mbedtls\library\ssl_tls13_generic.c,860,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_014,R02,embedded\mbedtls\library\x509_crt.c,1726,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_015,R02,embedded\mbedtls\programs\ssl\ssl_server2.c,2648,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_016,R04,embedded\mbedtls\library\debug.c,181,Return value of cryptographic function 'mbedtls_snprintf' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_017,R04,embedded\mbedtls\library\mps_trace.c,95,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
