coding_id,repo,commit_sha,commit_message,gemini_label,gpt55_label,deepseek_label,claude_label,claude_confidence,claude_reason,majority_3plus_label,plurality_label,agreement_count_max,all_four_agree,at_least_three_agree,two_two_tie,all_four_different
C022,openssl/openssl,af841adf9fb0aedbc047ba8b59a5437ed21a89b8,ml_kem kem: convert to using generated param decoders,D9,D2,D9,D2,low,Refactors parameter decoding used for ML-KEM provider parameter handling.,,,2,false,false,true,false
C031,wolfSSL/wolfssl,b41d46a15833616028c33487c3902e2c843cf740,src/ssl.c and src/ssl_load.c: fix syntax flubs in WOLFSSL_DILITHIUM_FIPS204_DRAFT paths.,D9,D8,D9,D8,medium,Fixing syntax errors in a conditional compile path; build-breaking issue.,,,2,false,false,true,false
C045,open-quantum-safe/oqs-provider,af20d054c06822555234f9b53e6b8b3a446bde17,Full OQS project integration (#1),D8,D8,D9,D9,medium,"Initial broad project-integration commit; generic, no specific defect.",,,2,false,false,true,false
C051,openssl/openssl,7057138f0fb3fef022877bb85d0ea9131a01da46,fips: defined for ML-KEM CASTs,D8,D8,D9,D9,medium,FIPS conditional definitions for self-tests; generic compliance work.,,,2,false,false,true,false
C056,aws/s2n-tls,4d8243d90d0822d11dd3233fa0080df64dc198f1,Add Kyber Round 2 TLS Security Policy (#2138),D9,D9,D2,D2,medium,Adds a named TLS security policy enabling Kyber; algorithm-selection config.,,,2,false,false,true,false
C061,wolfSSL/wolfssl,0780fd9719ea695d8bb32aa274c1039832e02270,liboqs: add RNG support for sphincs,D2,D2,D9,D9,medium,"Adding RNG support feature; generic, no specific defect.",,,2,false,false,true,false
C072,openssl/openssl,a2079b82ba9b78f8a9e76c2f3387c39c0b44d28a,Drop value barrier from ML-DSA reduce_once,D4,D6,D4,D6,medium,Dropping a 'value barrier' typically used to preserve constant-time guarantees.,,,2,false,false,true,false
C073,wolfSSL/wolfssl,00abce3474d564a0d01ee9cde7002c29acac9cf9,Merge pull request #10310 from cconlon/d2iMLDSA,D9,D2,D2,D9,low,"Branch about a DER-decoding helper; generic feature, low detail.",,,2,false,false,true,false
C085,wolfSSL/wolfssl,e9292e301f620ff60d57caa253e71dbfc12bc6aa,add _new/_delete API for ML-KEM/ML-DSA,D5,D2,D2,D5,medium,Adds constructor/destructor ('_new/_delete') lifecycle API tied to allocation.,,,2,false,false,true,false
C134,wolfSSL/wolfssl,fb691fac94f079170a7fd90b75bb1cffa2a5846c,Merge pull request #8947 from SparkiDev/mldsa_openssl_der,D9,D2,D2,D9,low,Generic merge branch with no defect detail.,,,2,false,false,true,false
C146,openssl/openssl,318994a121daa479f9418514ccf0ac196792de3b,ASN.1 ML-KEM private key format,D9,D2,D2,D9,medium,Defines a new key-encoding format; feature work.,,,2,false,false,true,false
C168,wolfSSL/wolfssl,040e2102a84d26c0e0bb350c228a90dec21769bf,Merge pull request #9049 from kojiws/import_mldsa_seed_pkcs8_reapply,D9,D2,D2,D9,low,Branch about importing key material via PKCS8; generic feature.,,,2,false,false,true,false
