coding_id,repo,commit_sha,commit_date,commit_url,commit_message,llm_label,confidence,short_reason,source_pass
C001,wolfSSL/wolfssl,,,,Merge pull request #10497 from Frauschi/mldsa_rename,D9,medium,Merge of a rename/refactor branch (mldsa_rename); no specific defect indicated.,claude_sonnet_4_6_max
C002,wolfSSL/wolfssl,,,,Merge pull request #8027 from SparkiDev/kyber_original_fix,D9,low,Generic merge; branch implies a fix but no defect detail is given.,claude_sonnet_4_6_max
C003,open-quantum-safe/liboqs,,,,Ensure that building against liboqs build directory works (#2086),D8,high,Explicitly about getting the build to work against the liboqs build directory.,claude_sonnet_4_6_max
C004,open-quantum-safe/liboqs,,,,"Dilithium 3.1 update, partially autogenerating docs (#923)",D9,medium,Algorithm version update plus autogenerated docs; general maintenance.,claude_sonnet_4_6_max
C005,open-quantum-safe/liboqs,,,,Pull new HQC implementation from upstream (#1585),D9,medium,Pulling a new algorithm implementation from upstream; generic integration.,claude_sonnet_4_6_max
C006,wolfSSL/wolfssl,,,,Merge pull request #4960 from anhu/stm32_pq_bench,D4,low,Branch name suggests STM32 PQC benchmarking; inferred performance relevance.,claude_sonnet_4_6_max
C007,wolfSSL/wolfssl,,,,ML-KEM: derive secret fix,D9,low,Vague fix to secret derivation; no clear defect category stated.,claude_sonnet_4_6_max
C008,wolfSSL/wolfssl,,,,ASM files: generation script refactor output,D9,medium,"Refactor of an ASM-generation script's output; cleanup, not a build/perf fix per se.",claude_sonnet_4_6_max
C009,aws/s2n-tls,,,,Add a readme for the post-quantum crypto directory,D9,high,Adding a README file; documentation.,claude_sonnet_4_6_max
C010,wolfSSL/wolfssl,,,,linuxkm: add asm support for Kyber.,D4,low,Adding assembly support is typically a performance optimization.,claude_sonnet_4_6_max
C011,wolfSSL/wolfssl,,,,Merge pull request #7877 from SparkiDev/ml_dsa_ml_kem_final,D9,low,Generic merge of a 'final' implementation branch; no defect detail.,claude_sonnet_4_6_max
C012,wolfSSL/wolfssl,,,,ASM generation fixes,D9,low,Vague fix to generation tooling; insufficient detail on defect type.,claude_sonnet_4_6_max
C013,open-quantum-safe/liboqs,,,,Update sig_stfl Doxygen documentation (#2059),D9,high,Documentation update.,claude_sonnet_4_6_max
C014,open-quantum-safe/liboqs,,,,Sync upstream with copy_from_upstram / pqcrystals pull (#891),D9,high,Upstream sync; generic maintenance.,claude_sonnet_4_6_max
C015,wolfSSL/wolfssl,,,,src/pk.c: add missing 'keySz = padded_keySz' in _DH_compute_key() ct cleanup path.,D6,medium,Missing-assignment fix located explicitly in a constant-time (ct) cleanup path.,claude_sonnet_4_6_max
C016,wolfSSL/wolfssl,,,,-----BEGIN SPHINCS_SMALL_LEVEL1 PRIVATE KEY----- is the longest one at length 48,D1,low,Appears to be a note about max PEM key-label string length; buffer-sizing context.,claude_sonnet_4_6_max
C017,aws/s2n-tls,,,,feature: add support for configuring (but not yet using) ml-dsa certs (#5263),D2,medium,Adds configuration support for enabling ML-DSA certs; algorithm-config related.,claude_sonnet_4_6_max
C018,open-quantum-safe/liboqs,,,,Pull Kyber/ML-KEM CT-Fix from upstream,D6,high,Explicit 'CT-Fix' (constant-time fix) pulled from upstream.,claude_sonnet_4_6_max
C019,openssl/openssl,,,,Provide aliases to ML-DSA without dashes,D2,low,Adds alternate algorithm-name aliases; relevant to algorithm identification/selection.,claude_sonnet_4_6_max
C020,open-quantum-safe/liboqs,,,,Add CROSS (#1881),D9,high,Adding a new algorithm (CROSS); generic feature addition.,claude_sonnet_4_6_max
C021,open-quantum-safe/oqs-provider,,,,Add pristine copies of source files from OQS-OpenSSL3,D9,high,Vendoring source files; generic maintenance.,claude_sonnet_4_6_max
C022,openssl/openssl,,,,ml_kem kem: convert to using generated param decoders,D2,low,Refactors parameter decoding used for ML-KEM provider parameter handling.,claude_sonnet_4_6_max
C023,wolfSSL/wolfssl,,,,ML-KEM/Kyber: fix out of bouds read,D1,high,Explicit out-of-bounds read fix; classic buffer/size handling defect.,claude_sonnet_4_6_max
C024,open-quantum-safe/oqs-provider,,,,bring GOVERNANCE in line with liboqs [skip ci] (#342),D9,high,Governance document change.,claude_sonnet_4_6_max
C025,open-quantum-safe/oqs-provider,,,,Hybrid KEM support (#16),D2,high,Adds hybrid KEM support; core crypto-agility/negotiation feature.,claude_sonnet_4_6_max
C026,wolfSSL/wolfssl,,,,certs_test.h is using raw dilithium keys,D9,medium,Test-fixture note about raw key usage; test maintenance.,claude_sonnet_4_6_max
C027,open-quantum-safe/liboqs,,,,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,high,"Pure merge commit, no content signal.",claude_sonnet_4_6_max
C028,wolfSSL/wolfssl,,,,Get the falcon keys into wolfssl/certs_test.h,D9,high,Adding test key material to a test header; maintenance.,claude_sonnet_4_6_max
C029,wolfSSL/wolfssl,,,,examples/{client/server}: remove spurious commas in --pqc help strings; clang-tidy fix (#5480),D9,high,"Lint/style cleanup (spurious commas, clang-tidy warning).",claude_sonnet_4_6_max
C030,wolfSSL/wolfssl,,,,Bugfix: wolfSSL_get_curve_name() will now print post-quantum group names.,D2,low,Bug in an API that reports the negotiated PQC group/curve name.,claude_sonnet_4_6_max
C031,wolfSSL/wolfssl,,,,src/ssl.c and src/ssl_load.c: fix syntax flubs in WOLFSSL_DILITHIUM_FIPS204_DRAFT paths.,D8,medium,Fixing syntax errors in a conditional compile path; build-breaking issue.,claude_sonnet_4_6_max
C032,wolfSSL/wolfssl,,,,Merge pull request #8827 from SparkiDev/ml_kem_codepoints,D2,low,"Branch concerns ML-KEM 'codepoints', likely algorithm identifiers for negotiation.",claude_sonnet_4_6_max
C033,openssl/openssl,,,,rename ml_dsa_sig.c to ml_dsa_sig.c.in,D8,medium,Rename to .c.in indicates conversion to a build-system template file.,claude_sonnet_4_6_max
C034,open-quantum-safe/oqs-provider,,,,Cross-compile to linux-aarch64 from linux-x64 in GitHub actions. (#253),D8,high,Explicit CI cross-compilation setup.,claude_sonnet_4_6_max
C035,wolfSSL/wolfssl,,,,pqc: fix memory type for shared secret storage server side,D5,medium,Fix relates to the memory allocation type used for shared-secret storage.,claude_sonnet_4_6_max
C036,wolfSSL/wolfssl,,,,MSVC: replace UINT32_MAX with WOLFSSL_MAX_32BIT in dilithium.c,D8,high,MSVC-specific macro substitution; compiler-portability fix.,claude_sonnet_4_6_max
C037,wolfSSL/wolfssl,,,,tests/api.c: fix readability-uppercase-literal-suffix in rfc9802_verify_one_cert(),D9,high,clang-tidy lint fix.,claude_sonnet_4_6_max
C038,wolfSSL/wolfssl,,,,Add liboqs integration to CMake build system (#5407),D8,high,Explicit CMake build-system integration.,claude_sonnet_4_6_max
C039,wolfSSL/wolfssl,,,,Rust wrapper: dilithium: remove unnecessary size define presence checks,D9,medium,"Removes redundant preprocessor size-checks; cleanup, not a substantive size defect.",claude_sonnet_4_6_max
C040,wolfSSL/wolfssl,,,,Fix implicit conversion.,D8,low,Implicit type-conversion fixes are typically compiler-warning/portability issues.,claude_sonnet_4_6_max
C041,aws/s2n-tls,,,,Add more test cases for multiple certificates by name,D9,high,Adding test cases; test maintenance.,claude_sonnet_4_6_max
C042,wolfSSL/wolfssl,,,,Merge pull request #4856 from anhu/stm32u5,D8,low,Merge of a new platform (STM32U5) support branch; inferred from branch name.,claude_sonnet_4_6_max
C043,open-quantum-safe/liboqs,,,,Merge pull request #486 from dmjones/link-openssl,D8,low,Branch concerns linking against OpenSSL; build/link inference.,claude_sonnet_4_6_max
C044,wolfSSL/wolfssl,,,,Merge pull request #8360 from philljj/dual_alg_mldsa,D2,low,Branch concerns dual-algorithm (classical+PQC) ML-DSA support; crypto-agility.,claude_sonnet_4_6_max
C045,open-quantum-safe/oqs-provider,,,,Full OQS project integration (#1),D9,medium,"Initial broad project-integration commit; generic, no specific defect.",claude_sonnet_4_6_max
C046,wolfSSL/wolfssl,,,,Kyber/ML-KEM: make both available,D2,medium,Ensuring both naming variants are available; algorithm selection/compat.,claude_sonnet_4_6_max
C047,open-quantum-safe/oqs-provider,,,,remove default Kyber and Dilithium support (#603),D2,medium,Removing default algorithm support changes the available algorithm set.,claude_sonnet_4_6_max
C048,open-quantum-safe/liboqs,,,,Adding multiple upstream support to doc generation (#1123),D9,high,Documentation-generation tooling change.,claude_sonnet_4_6_max
C049,open-quantum-safe/liboqs,,,,Dependabot configuration and dependency updates (#2420),D8,high,Explicit dependency/configuration update (Dependabot).,claude_sonnet_4_6_max
C050,wolfSSL/wolfssl,,,,Fix memory leak in case of handshake error,D5,high,Explicit memory leak fix.,claude_sonnet_4_6_max
C051,openssl/openssl,,,,fips: defined for ML-KEM CASTs,D9,medium,FIPS conditional definitions for self-tests; generic compliance work.,claude_sonnet_4_6_max
C052,wolfSSL/wolfssl,,,,wolfCrypt support for external Kyber implementations (liboqs and pqm4),D2,medium,Adds support for external Kyber providers; provider/algorithm flexibility.,claude_sonnet_4_6_max
C053,wolfSSL/wolfssl,,,,Kyber: Improve performance of C implementation,D4,high,Explicit performance improvement to the C implementation.,claude_sonnet_4_6_max
C054,open-quantum-safe/liboqs,,,,Trigger liboqs-java and liboqs-rust downstream CI (#2021),D8,high,CI pipeline trigger for downstream builds.,claude_sonnet_4_6_max
C055,wolfSSL/wolfssl,,,,Fix PQC hybrid KeyShare pointer sanity.,D7,medium,Fixes a pointer validity ('sanity') check in hybrid key-share handling.,claude_sonnet_4_6_max
C056,aws/s2n-tls,,,,Add Kyber Round 2 TLS Security Policy (#2138),D2,medium,Adds a named TLS security policy enabling Kyber; algorithm-selection config.,claude_sonnet_4_6_max
C057,open-quantum-safe/liboqs,,,,Merge pull request #521 from open-quantum-safe/ds-sphincs,D9,low,Generic merge adding an algorithm branch; no defect detail.,claude_sonnet_4_6_max
C058,open-quantum-safe/liboqs,,,,Fix SPHINCS+ constant-time suppression files (#1480),D6,high,Explicit constant-time suppression-file fix.,claude_sonnet_4_6_max
C059,openssl/openssl,,,,"Test ML-DSA, SLH-DSA, and ML-KEM PCT implementations",D9,high,Adding tests for PCT implementations; test maintenance.,claude_sonnet_4_6_max
C060,openssl/openssl,,,,ml_dsa_kmgmt: check params against len and not pointers in ml_dsa_key_fromdata,D7,high,Changes validation to check length instead of pointers; explicit check/validation fix.,claude_sonnet_4_6_max
C061,wolfSSL/wolfssl,,,,liboqs: add RNG support for sphincs,D9,medium,"Adding RNG support feature; generic, no specific defect.",claude_sonnet_4_6_max
C062,open-quantum-safe/liboqs,,,,liboqs 0.6.0-rc1,D9,high,Release-candidate tagging.,claude_sonnet_4_6_max
C063,wolfSSL/wolfssl,,,,ML-KEM fixes,D9,low,Too vague to assign a specific defect category.,claude_sonnet_4_6_max
