finding_id,rule,file,line,message,assisted_verdict,confidence,rationale,review_method
wolfssl_000,R05,tests/api/test_mldsa_legacy.c,315,Direct call to algorithm-specific API 'wc_dilithium_sign_msg_with_seed'.,REVIEW,low,"Test/example/benchmark/fuzz path; useful for rule behavior, but not counted as production precision evidence.",deterministic_external_assisted_triage
wolfssl_001,R02,wolfcrypt/src/ecc.c,11225,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_002,R04,wolfcrypt/src/port/devcrypto/devcrypto_hmac.c,79,Return value of cryptographic function 'wc_SetupCrypt' is unchecked.,TP,medium,Unchecked status on cryptographic/protocol operation.,deterministic_external_assisted_triage
wolfssl_003,R02,wolfcrypt/src/evp.c,8025,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_004,R02,src/pk.c,1815,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_005,R03,tests/api/test_aes.c,9191,Stack-allocated crypto buffer 'key' of large size (AES_256_KEY_SIZE) detected.,REVIEW,low,"Test/example/benchmark/fuzz path; useful for rule behavior, but not counted as production precision evidence.",deterministic_external_assisted_triage
wolfssl_006,R02,wolfcrypt/src/port/kcapi/kcapi_aes.c,137,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_007,R02,wolfcrypt/src/aes.c,10774,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_008,R02,src/pk_ec.c,4130,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_009,R03,tests/api/test_x509.c,1000,Stack-allocated crypto buffer 'expected_skid' of large size (CTC_MAX_SKID_SIZE) detected.,REVIEW,low,"Test/example/benchmark/fuzz path; useful for rule behavior, but not counted as production precision evidence.",deterministic_external_assisted_triage
wolfssl_010,R02,wolfcrypt/src/port/af_alg/afalg_aes.c,458,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_011,R02,src/tls.c,9573,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_012,R02,wolfcrypt/src/asn.c,11396,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_013,R02,wolfcrypt/src/cryptocb.c,182,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_014,R02,src/internal.c,18497,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_015,R02,src/pk.c,988,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_016,R02,wolfcrypt/src/evp_pk.c,1701,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_017,R07,wolfcrypt/src/port/silabs/silabs_hash.c,211,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
wolfssl_018,R02,wolfcrypt/src/port/Renesas/renesas_tsip_aes.c,720,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,TP,medium,Rule-family finding is migration-relevant under the current PQCFirm definition.,deterministic_external_assisted_triage
