candidate_id,repo,commit_sha,commit_url,taxonomy_label,expected_pqcfirm_scope,validation_run_status,parent_revision,changed_code_files_count,findings_on_prefixed_changed_files,rules_detected,expected_rule_hit,any_pqcfirm_hit,notes,expected_rule_from_template,triage_comment
HF006,open-quantum-safe/liboqs,0807ecf9af199442b14d8dd81cd22c6cc3e21733,https://github.com/open-quantum-safe/liboqs/commit/0807ecf9af199442b14d8dd81cd22c6cc3e21733,D5,R06,completed,c366e19805387d70483c460b77afb10b7c9c9269,88,18,R04;R05,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF007,open-quantum-safe/liboqs,2c6c9173e844bdfec3a6f673ee05af30525bbfba,https://github.com/open-quantum-safe/liboqs/commit/2c6c9173e844bdfec3a6f673ee05af30525bbfba,D3,R03,completed,2297d7a56d4b51361c8f51e1008f83853c68a449,0,0,,False,False,Automated evidence only; manual review required.,R03,"Stack overflow / exhaustion fix during PQC operation, maps to R03."
HF014,aws/s2n-tls,9d8e90a3c1eaa4f001e9cdec07ff72732a994a3e,https://github.com/aws/s2n-tls/commit/9d8e90a3c1eaa4f001e9cdec07ff72732a994a3e,D2,R02/R05,completed,e178771db0da13c10b18f25b7e3015b185075beb,26,19,R01,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF015,open-quantum-safe/liboqs,1ae9cf6fe53b379c5e7cf40193c844f86a747810,https://github.com/open-quantum-safe/liboqs/commit/1ae9cf6fe53b379c5e7cf40193c844f86a747810,D2,R02/R05,completed,3cb781fd4737c900ad755ee0bb9e1949d0f68955,4,20,R04,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF017,openssl/openssl,aeea7dfaff4449f13a335ca2a3fbc87b8a4417bf,https://github.com/openssl/openssl/commit/aeea7dfaff4449f13a335ca2a3fbc87b8a4417bf,D2,R02/R05,completed,7fb28b9cd05ba89cbbe038dfa85804fe22bc146a,2,7,R01,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF019,openssl/openssl,95d764a0440edcf88737061f8a7bd829ea329642,https://github.com/openssl/openssl/commit/95d764a0440edcf88737061f8a7bd829ea329642,D2,R02/R05,completed,e04a604d0dbc6a50c48e21a4658afc2a6fb2d445,1,8,R01;R03;R04,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF023,aws/s2n-tls,40350a35d7333b8d3006dad0a5cfd41d3d0a7e78,https://github.com/aws/s2n-tls/commit/40350a35d7333b8d3006dad0a5cfd41d3d0a7e78,D2,R02/R05,completed,1fb1c07b4a470f6b23d386e6d0fd2c3cb997072e,27,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF025,wolfSSL/wolfssl,b180a279b0b680fd4b4852d0695e9ee321fbac63,https://github.com/wolfSSL/wolfssl/commit/b180a279b0b680fd4b4852d0695e9ee321fbac63,D1,R01,completed,b3f08f33b845d2d6bb523f0f38d191ca25635e1c,2,15,R03;R04;R05,False,True,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF034,openssl/openssl,0c1c243a80eb2641058f9edc0f1a6c947d8d9205,https://github.com/openssl/openssl/commit/0c1c243a80eb2641058f9edc0f1a6c947d8d9205,D1,R01,completed,4b6e6554b290842314e2fe4d5e56f5290bb4b8df,3,8,R02,False,True,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF037,aws/s2n-tls,e85f69f9b2a84942a4edb7f27f25691a69f8e353,https://github.com/aws/s2n-tls/commit/e85f69f9b2a84942a4edb7f27f25691a69f8e353,D5,R06,completed,25fb1fc42173f1cb14392795fea4d2ab12359c25,24,38,R01,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
