finding_id,rule,file,line,message,code_snippet,assisted_verdict,confidence,rationale,review_method
mbedtls_filtered_000,R01,include/mbedtls/aria.h,33,Hardcoded key/buffer size macro 'MBEDTLS_ARIA_MAX_KEYSIZE' value (32) is below PQC minimum requirements.,"      30: 
      31: #define MBEDTLS_ARIA_BLOCKSIZE   16 /**< ARIA block size in bytes. */
      32: #define MBEDTLS_ARIA_MAX_ROUNDS  16 /**< Maximum number of rounds in ARIA. */
>>>   33: #define MBEDTLS_ARIA_MAX_KEYSIZE 32 /**< Maximum size of an ARIA key in bytes. */
      34: 
      35: /** Bad input data. */
      36: #define MBEDTLS_ERR_ARIA_BAD_INPUT_DATA -0x005C",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_001,R01,include/mbedtls/config_adjust_legacy_from_psa.h,480,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"     477: #if !defined(MBEDTLS_PSA_ACCEL_KEY_TYPE_DH_KEY_PAIR_BASIC) || \
     478:     defined(MBEDTLS_PSA_DH_ACCEL_INCOMPLETE_GROUPS) || \
     479:     defined(MBEDTLS_PSA_DH_ACCEL_INCOMPLETE_ALGS)
>>>  480: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_BASIC 1
     481: #endif /* !MBEDTLS_PSA_ACCEL_KEY_TYPE_DH_KEY_PAIR_BASIC */
     482: #endif /* PSA_WANT_KEY_TYPE_DH_KEY_PAIR_BASIC */
     483: ",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_002,R01,include/mbedtls/config_adjust_legacy_from_psa.h,665,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_EXPORT' value (1) is below PQC minimum requirements.,"     662: 
     663: #if defined(PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_EXPORT)
     664: #if !defined(MBEDTLS_PSA_ACCEL_KEY_TYPE_RSA_KEY_PAIR_EXPORT)
>>>  665: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_EXPORT 1
     666: #endif /* !MBEDTLS_PSA_ACCEL_KEY_TYPE_RSA_KEY_PAIR_EXPORT */
     667: #endif /* PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_EXPORT */
     668: ",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_003,R01,include/mbedtls/config_adjust_legacy_from_psa.h,737,Hardcoded key/buffer size macro 'PSA_HAVE_SOFT_KEY_TYPE_CAMELLIA' value (1) is below PQC minimum requirements.,"     734: 
     735: #if defined(PSA_WANT_KEY_TYPE_CAMELLIA)
     736: #if !defined(MBEDTLS_PSA_ACCEL_KEY_TYPE_CAMELLIA)
>>>  737: #define PSA_HAVE_SOFT_KEY_TYPE_CAMELLIA 1
     738: #endif /* !MBEDTLS_PSA_ACCEL_KEY_TYPE_CAMELLIA */
     739: #if defined(PSA_HAVE_SOFT_KEY_TYPE_CAMELLIA) || \
     740:     defined(PSA_HAVE_SOFT_BLOCK_MODE)",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_004,R01,include/mbedtls/config_adjust_legacy_from_psa.h,752,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_DES' value (1) is below PQC minimum requirements.,"     749: #endif /* !MBEDTLS_PSA_ACCEL_KEY_TYPE_DES */
     750: #if defined(PSA_HAVE_SOFT_KEY_TYPE_DES) || \
     751:     defined(PSA_HAVE_SOFT_BLOCK_MODE)
>>>  752: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DES 1
     753: #define MBEDTLS_DES_C
     754: #endif /*PSA_HAVE_SOFT_KEY_TYPE_DES || PSA_HAVE_SOFT_BLOCK_MODE */
     755: #endif /* PSA_WANT_KEY_TYPE_DES */",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,filtered_llm_assisted_static_audit
mbedtls_filtered_005,R01,include/mbedtls/config_adjust_psa_from_legacy.h,67,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_BASIC' value (1) is below PQC minimum requirements.,"      64:  * but since it used to be available any time ECP_C was enabled, let's enable
      65:  * it anyway for the sake of backwards compatibility */
      66: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE 1
>>>   67: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_BASIC 1
      68: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_IMPORT 1
      69: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_EXPORT 1
      70: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_GENERATE 1",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_006,R01,include/mbedtls/config_adjust_psa_from_legacy.h,68,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_IMPORT' value (1) is below PQC minimum requirements.,"      65:  * it anyway for the sake of backwards compatibility */
      66: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE 1
      67: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_BASIC 1
>>>   68: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_IMPORT 1
      69: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_EXPORT 1
      70: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_GENERATE 1
      71: /* See comment for PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE above. */",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_007,R01,include/mbedtls/config_adjust_psa_from_legacy.h,69,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_EXPORT' value (1) is below PQC minimum requirements.,"      66: #define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE 1
      67: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_BASIC 1
      68: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_IMPORT 1
>>>   69: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_EXPORT 1
      70: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_GENERATE 1
      71: /* See comment for PSA_WANT_KEY_TYPE_ECC_KEY_PAIR_DERIVE above. */
      72: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_ECC_KEY_PAIR_DERIVE 1",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_008,R01,include/mbedtls/config_adjust_psa_from_legacy.h,164,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_GENERATE' value (1) is below PQC minimum requirements.,"     161: #define PSA_WANT_ALG_RSA_PSS 1
     162: #endif /* MBEDTLS_PKCS1_V21 */
     163: #if defined(MBEDTLS_GENPRIME)
>>>  164: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_GENERATE 1
     165: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_GENERATE 1
     166: #endif /* MBEDTLS_GENPRIME */
     167: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_BASIC 1",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
mbedtls_filtered_009,R01,include/mbedtls/config_adjust_psa_from_legacy.h,168,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_IMPORT' value (1) is below PQC minimum requirements.,"     165: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_GENERATE 1
     166: #endif /* MBEDTLS_GENPRIME */
     167: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_BASIC 1
>>>  168: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_IMPORT 1
     169: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_KEY_PAIR_EXPORT 1
     170: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_BASIC 1
     171: #define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR_IMPORT 1",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,filtered_llm_assisted_static_audit
