coding_id,repo,commit_sha,commit_date,commit_url,commit_message,llm_label,confidence,short_reason,source_pass
C001,wolfSSL/wolfssl,782787276cc5d14ae38dadebddb7144d7c2539a8,,,,D9,High,Algorithm renaming,gemini_3_1_pro
C002,wolfSSL/wolfssl,2db2bedd5f032c7efde1510d9d1d05a6fd554c7a,,,,D9,High,General implementation fix,gemini_3_1_pro
C003,open-quantum-safe/liboqs,f5a044874d13dd15f9c67b59e74a61836c40f97b,,,,D8,High,Build directory configuration,gemini_3_1_pro
C004,open-quantum-safe/liboqs,9cf6171007ae07eefa6c7f43aed964d4587c0914,,,,D9,High,Documentation generation,gemini_3_1_pro
C005,open-quantum-safe/liboqs,aeac3a441dd3d95821b04a26baae6f73013538d8,,,,D9,High,Pulling upstream implementation,gemini_3_1_pro
C006,wolfSSL/wolfssl,5b268c08523d00013da9f8b27e3a130a29526ae4,,,,D4,Medium,Benchmark addition,gemini_3_1_pro
C007,wolfSSL/wolfssl,074a3dbcc1712d5701ce6597f125c7a6deec59f5,,,,D9,Medium,Implementation logic fix,gemini_3_1_pro
C008,wolfSSL/wolfssl,fc433b2596fec6d7c0b5e3c275ba5b872a22391c,,,,D9,High,Script refactoring,gemini_3_1_pro
C009,aws/s2n-tls,0888bdcdd0361994486fe9ebacba4f47cbe020e7,,,,D9,High,Readme documentation addition,gemini_3_1_pro
C010,wolfSSL/wolfssl,21484ec75afadee15485e272e307cbd77379e86a,,,,D8,High,ASM support for Linux kernel module build,gemini_3_1_pro
C011,wolfSSL/wolfssl,bf074d2bb9e9a7d120ae0a57998aa76925b0bf3a,,,,D9,High,Finalizing implementation merge,gemini_3_1_pro
C012,wolfSSL/wolfssl,ec958de64904d0f9bbb11dd90ad0f05e3f3cddc6,,,,D8,Medium,ASM generation script fix,gemini_3_1_pro
C013,open-quantum-safe/liboqs,47612ee6d83231da92d5814fe5318e0512f06b41,,,,D9,High,Doxygen documentation update,gemini_3_1_pro
C014,open-quantum-safe/liboqs,bd4d09da75e217a439e1f7790d7a064208c39d08,,,,D9,High,Upstream sync,gemini_3_1_pro
C015,wolfSSL/wolfssl,794f0d8d19c4ebb854f373e929201036e8aaada2,,,,D6,High,Constant-time cleanup path,gemini_3_1_pro
C016,wolfSSL/wolfssl,a0f6b779a5ebf91432383a2aa6b4845666e05854,,,,D1,High,Key length specification,gemini_3_1_pro
C017,aws/s2n-tls,9fd38bd7b8c56fbcffa0fefbe2fe35c22269eecf,,,,D2,Medium,API configuration support addition,gemini_3_1_pro
