finding_id,rule,file,line,message,code_snippet,assisted_verdict,confidence,rationale,review_method
mbedtls_000,R01,3rdparty/p256-m/p256-m/p256-m.c,1397,Hardcoded key array size (64 bytes) for 'sig' is insufficient for PQC.,"    1394: /*
    1395:  * ECDSA verify
    1396:  */
>>> 1397: int p256_ecdsa_verify(const uint8_t sig[64], const uint8_t pub[64],
    1398:                       const uint8_t *hash, size_t hlen)
    1399: {
    1400:     /*",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_001,R01,3rdparty/p256-m/p256-m/p256-m.c,1475,Hardcoded key array size (64 bytes) for 'pub' is insufficient for PQC.,"    1472:  *
    1473:  **********************************************************************/
    1474: 
>>> 1475: int p256_validate_pubkey(const uint8_t pub[64])
    1476: {
    1477:     uint32_t x[8], y[8];
    1478:     int ret = point_from_bytes(x, y, pub);",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_002,R01,3rdparty/p256-m/p256-m/p256-m.h,45,Hardcoded key array size (32 bytes) for 'priv' is insufficient for PQC.,"      42:  * return:  P256_SUCCESS on success
      43:  *          P256_RANDOM_FAILED on failure
      44:  */
>>>   45: int p256_gen_keypair(uint8_t priv[32], uint8_t pub[64]);
      46: 
      47: /*
      48:  * ECDH compute shared secret",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_003,R01,3rdparty/p256-m/p256-m/p256-m.h,58,Hardcoded key array size (32 bytes) for 'secret' is insufficient for PQC.,"      55:  *          P256_INVALID_PRIVKEY if priv is invalid
      56:  *          P256_INVALID_PUBKEY if pub is invalid
      57:  */
>>>   58: int p256_ecdh_shared_secret(uint8_t secret[32],
      59:                             const uint8_t priv[32], const uint8_t pub[64]);
      60: 
      61: /*",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_004,R01,3rdparty/p256-m/p256-m/p256-m.h,59,Hardcoded key array size (32 bytes) for 'priv' is insufficient for PQC.,"      56:  *          P256_INVALID_PUBKEY if pub is invalid
      57:  */
      58: int p256_ecdh_shared_secret(uint8_t secret[32],
>>>   59:                             const uint8_t priv[32], const uint8_t pub[64]);
      60: 
      61: /*
      62:  * ECDSA sign",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_005,R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,38,Hardcoded key/buffer size macro 'PRIVKEY_SIZE' value (32) is below PQC minimum requirements.,"      35: #define PSA_PUBKEY_SIZE         65
      36: #define PSA_PUBKEY_HEADER_BYTE  0x04
      37: #define P256_PUBKEY_SIZE        64
>>>   38: #define PRIVKEY_SIZE            32
      39: #define SHARED_SECRET_SIZE      32
      40: #define SIGNATURE_SIZE          64
      41: ",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_006,R01,3rdparty/p256-m/p256-m_driver_entrypoints.c,39,Hardcoded key/buffer size macro 'SHARED_SECRET_SIZE' value (32) is below PQC minimum requirements.,"      36: #define PSA_PUBKEY_HEADER_BYTE  0x04
      37: #define P256_PUBKEY_SIZE        64
      38: #define PRIVKEY_SIZE            32
>>>   39: #define SHARED_SECRET_SIZE      32
      40: #define SIGNATURE_SIZE          64
      41: 
      42: #define CURVE_BITS              256",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_007,R01,configs/ext/crypto_config_profile_medium.h,111,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_RAW_DATA' value (1) is below PQC minimum requirements.,"     108: //#define PSA_WANT_KEY_TYPE_DES                   1
     109: //#define PSA_WANT_KEY_TYPE_ECC_KEY_PAIR          1 /* Deprecated */
     110: #define PSA_WANT_KEY_TYPE_ECC_PUBLIC_KEY        1
>>>  111: #define PSA_WANT_KEY_TYPE_RAW_DATA              1
     112: //#define PSA_WANT_KEY_TYPE_RSA_KEY_PAIR          1 /* Deprecated */
     113: //#define PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY        1
     114: ",FP,medium,"Hardcoded size is a symmetric/hash/configuration constant, not a PQC key/signature buffer.",llm_assisted_static_audit
mbedtls_008,R01,include/mbedtls/config_adjust_legacy_from_psa.h,472,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_GENERATE' value (1) is below PQC minimum requirements.,"     469: 
     470: #if defined(PSA_WANT_KEY_TYPE_DH_KEY_PAIR_GENERATE)
     471: #if !defined(MBEDTLS_PSA_ACCEL_KEY_TYPE_DH_KEY_PAIR_GENERATE)
>>>  472: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_DH_KEY_PAIR_GENERATE 1
     473: #endif /* !MBEDTLS_PSA_ACCEL_KEY_TYPE_DH_KEY_PAIR_GENERATE */
     474: #endif /* PSA_WANT_KEY_TYPE_DH_KEY_PAIR_GENERATE */
     475: ",REVIEW,low,Cannot classify from finding metadata alone; inspect source context.,llm_assisted_static_audit
mbedtls_009,R01,include/mbedtls/config_adjust_legacy_from_psa.h,684,Hardcoded key/buffer size macro 'MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_PUBLIC_KEY' value (1) is below PQC minimum requirements.,"     681: 
     682: #if defined(PSA_WANT_KEY_TYPE_RSA_PUBLIC_KEY)
     683: #if !defined(MBEDTLS_PSA_ACCEL_KEY_TYPE_RSA_PUBLIC_KEY)
>>>  684: #define MBEDTLS_PSA_BUILTIN_KEY_TYPE_RSA_PUBLIC_KEY 1
     685: #define MBEDTLS_RSA_C
     686: #define MBEDTLS_BIGNUM_C
     687: #define MBEDTLS_OID_C",TP,low,Potential migration-relevant size/configuration limit touching public-key or key-exchange material.,llm_assisted_static_audit
