coding_id,repo,commit_sha,commit_message,gemini_label,gpt55_label,deepseek_label,claude_label,claude_confidence,claude_reason,majority_3plus_label,plurality_label,agreement_count_max,all_four_agree,at_least_three_agree,two_two_tie,all_four_different
C001,wolfSSL/wolfssl,782787276cc5d14ae38dadebddb7144d7c2539a8,Merge pull request #10497 from Frauschi/mldsa_rename,D9,D9,D9,D9,medium,Merge of a rename/refactor branch (mldsa_rename); no specific defect indicated.,D9,D9,4,true,true,false,false
C002,wolfSSL/wolfssl,2db2bedd5f032c7efde1510d9d1d05a6fd554c7a,Merge pull request #8027 from SparkiDev/kyber_original_fix,D9,D9,D9,D9,low,Generic merge; branch implies a fix but no defect detail is given.,D9,D9,4,true,true,false,false
C003,open-quantum-safe/liboqs,f5a044874d13dd15f9c67b59e74a61836c40f97b,Ensure that building against liboqs build directory works (#2086),D8,D8,D8,D8,high,Explicitly about getting the build to work against the liboqs build directory.,D8,D8,4,true,true,false,false
C004,open-quantum-safe/liboqs,9cf6171007ae07eefa6c7f43aed964d4587c0914,Dilithium 3.1 update	 partially autogenerating docs (#923),D9,D9,D9,D9,medium,Algorithm version update plus autogenerated docs; general maintenance.,D9,D9,4,true,true,false,false
C005,open-quantum-safe/liboqs,aeac3a441dd3d95821b04a26baae6f73013538d8,Pull new HQC implementation from upstream (#1585),D9,D9,D9,D9,medium,Pulling a new algorithm implementation from upstream; generic integration.,D9,D9,4,true,true,false,false
C006,wolfSSL/wolfssl,5b268c08523d00013da9f8b27e3a130a29526ae4,Merge pull request #4960 from anhu/stm32_pq_bench,D4,D4,D4,D4,low,Branch name suggests STM32 PQC benchmarking; inferred performance relevance.,D4,D4,4,true,true,false,false
C007,wolfSSL/wolfssl,074a3dbcc1712d5701ce6597f125c7a6deec59f5,ML-KEM: derive secret fix,D9,D7,D9,D9,low,Vague fix to secret derivation; no clear defect category stated.,D9,D9,3,false,true,false,false
C008,wolfSSL/wolfssl,fc433b2596fec6d7c0b5e3c275ba5b872a22391c,ASM files: generation script refactor output,D9,D9,D9,D9,medium,"Refactor of an ASM-generation script's output; cleanup, not a build/perf fix per se.",D9,D9,4,true,true,false,false
C009,aws/s2n-tls,0888bdcdd0361994486fe9ebacba4f47cbe020e7,Add a readme for the post-quantum crypto directory,D9,D9,D9,D9,high,Adding a README file; documentation.,D9,D9,4,true,true,false,false
C010,wolfSSL/wolfssl,21484ec75afadee15485e272e307cbd77379e86a,linuxkm: add asm support for Kyber.,D8,D8,D9,D4,low,Adding assembly support is typically a performance optimization.,,D8,2,false,false,false,false
C011,wolfSSL/wolfssl,bf074d2bb9e9a7d120ae0a57998aa76925b0bf3a,Merge pull request #7877 from SparkiDev/ml_dsa_ml_kem_final,D9,D9,D9,D9,low,Generic merge of a 'final' implementation branch; no defect detail.,D9,D9,4,true,true,false,false
C012,wolfSSL/wolfssl,ec958de64904d0f9bbb11dd90ad0f05e3f3cddc6,ASM generation fixes,D8,D8,D8,D9,low,Vague fix to generation tooling; insufficient detail on defect type.,D8,D8,3,false,true,false,false
C013,open-quantum-safe/liboqs,47612ee6d83231da92d5814fe5318e0512f06b41,Update sig_stfl Doxygen documentation (#2059),D9,D9,D9,D9,high,Documentation update.,D9,D9,4,true,true,false,false
C014,open-quantum-safe/liboqs,bd4d09da75e217a439e1f7790d7a064208c39d08,Sync upstream with copy_from_upstram / pqcrystals pull (#891),D9,D9,D9,D9,high,Upstream sync; generic maintenance.,D9,D9,4,true,true,false,false
C015,wolfSSL/wolfssl,794f0d8d19c4ebb854f373e929201036e8aaada2,src/pk.c: add missing 'keySz = padded_keySz' in _DH_compute_key() ct cleanup path.,D6,D1,D6,D6,medium,Missing-assignment fix located explicitly in a constant-time (ct) cleanup path.,D6,D6,3,false,true,false,false
C016,wolfSSL/wolfssl,a0f6b779a5ebf91432383a2aa6b4845666e05854,-----BEGIN SPHINCS_SMALL_LEVEL1 PRIVATE KEY----- is the longest one at length 48,D1,D1,D1,D1,low,Appears to be a note about max PEM key-label string length; buffer-sizing context.,D1,D1,4,true,true,false,false
C017,aws/s2n-tls,9fd38bd7b8c56fbcffa0fefbe2fe35c22269eecf,feature: add support for configuring (but not yet using) ml-dsa certs (#5263),D2,D2,D8,D2,medium,Adds configuration support for enabling ML-DSA certs; algorithm-config related.,D2,D2,3,false,true,false,false
C018,open-quantum-safe/liboqs,982c762c242ef549c914891b47bf6e0ed6321f91,Pull Kyber/ML-KEM CT-Fix from upstream,D6,D6,D6,D6,high,Explicit 'CT-Fix' (constant-time fix) pulled from upstream.,D6,D6,4,true,true,false,false
C019,openssl/openssl,c338c89d1616646fc34c90c48ebbac4ab691ed11,Provide aliases to ML-DSA without dashes,D2,D2,D9,D2,low,Adds alternate algorithm-name aliases; relevant to algorithm identification/selection.,D2,D2,3,false,true,false,false
C020,open-quantum-safe/liboqs,d93a431aaf9ac929f267901509e968a5727c053c,Add CROSS (#1881),D9,D8,D9,D9,high,Adding a new algorithm (CROSS); generic feature addition.,D9,D9,3,false,true,false,false
C021,open-quantum-safe/oqs-provider,31153f025458cd6025e6b1546636d8bcaf873195,Add pristine copies of source files from OQS-OpenSSL3,D9,D9,D9,D9,high,Vendoring source files; generic maintenance.,D9,D9,4,true,true,false,false
C022,openssl/openssl,af841adf9fb0aedbc047ba8b59a5437ed21a89b8,ml_kem kem: convert to using generated param decoders,D9,D2,D9,D2,low,Refactors parameter decoding used for ML-KEM provider parameter handling.,,,2,false,false,true,false
C023,wolfSSL/wolfssl,4ff6f5f10c0ef1bee08b007f369ca60970838561,ML-KEM/Kyber: fix out of bouds read,D1,D1,D1,D1,high,Explicit out-of-bounds read fix; classic buffer/size handling defect.,D1,D1,4,true,true,false,false
C024,open-quantum-safe/oqs-provider,7b21bd3bf35ba5fec53d5e5ab20f071b8afcd8b8,bring GOVERNANCE in line with liboqs [skip ci] (#342),D9,D9,D9,D9,high,Governance document change.,D9,D9,4,true,true,false,false
C025,open-quantum-safe/oqs-provider,075c60cef96352c8bf749fc8e2ec4236ad3422ab,Hybrid KEM support (#16),D2,D2,D2,D2,high,Adds hybrid KEM support; core crypto-agility/negotiation feature.,D2,D2,4,true,true,false,false
C026,wolfSSL/wolfssl,8ca790218cb5b258c6350c96a43ecd8ae685d2a4,certs_test.h is using raw dilithium keys,D9,D9,D9,D9,medium,Test-fixture note about raw key usage; test maintenance.,D9,D9,4,true,true,false,false
C027,open-quantum-safe/liboqs,a44bd12ace9d18cace78ff7967e3f5e612a9c6f0,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D9,D9,D9,high,"Pure merge commit, no content signal.",D9,D9,4,true,true,false,false
C028,wolfSSL/wolfssl,453404a864073f1689a0caf56d886624b4781af8,Get the falcon keys into wolfssl/certs_test.h,D9,D9,D9,D9,high,Adding test key material to a test header; maintenance.,D9,D9,4,true,true,false,false
C029,wolfSSL/wolfssl,969ad96deeb396747e96fdb71d5edeacea507806,examples/{client	server}/{client	server}.c: remove spurious commas in --pqc help strings	 and mollify clang-tidy bugprone-suspicious-missing-comma re --force-curve help strings. (#5480),D9,D9,D9,D9,high,"Lint/style cleanup (spurious commas, clang-tidy warning).",D9,D9,4,true,true,false,false
C030,wolfSSL/wolfssl,ae0faa40cf6460f8640a47c9ce55c3abcdd04c2d,Bugfix: wolfSSL_get_curve_name() will now print post-quantum group names.,D2,D2,D9,D2,low,Bug in an API that reports the negotiated PQC group/curve name.,D2,D2,3,false,true,false,false
