commit_id,repo,commit_message,original_label,assisted_label,agreement,confidence,rationale,review_method
78278727,wolfSSL/wolfssl,Merge pull request #10497 from Frauschi/mldsa_rename,D9,D2,false,low,Commit references API interface changes (D2) with 1 indicator(s).,llm_assisted_codebook_review
2db2bedd,wolfSSL/wolfssl,Merge pull request #8027 from SparkiDev/kyber_original_fix,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
f5a04487,open-quantum-safe/liboqs,Ensure that building against liboqs build directory works (#2086),D8,D8,true,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
9cf61710,open-quantum-safe/liboqs,Dilithium 3.1 update; partially autogenerating docs (#923),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
aeac3a44,open-quantum-safe/liboqs,Pull new HQC implementation from upstream (#1585),D7,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
5b268c08,wolfSSL/wolfssl,Merge pull request #4960 from anhu/stm32_pq_bench,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
074a3dbc,wolfSSL/wolfssl,ML-KEM: derive secret fix,D9,D6,false,low,Commit references side-channel/security (D6) with 1 indicator(s).,llm_assisted_codebook_review
fc433b25,wolfSSL/wolfssl,ASM files: generation script refactor output,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
0888bdcd,aws/s2n-tls,Add a readme for the post-quantum crypto directory,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
21484ec7,wolfSSL/wolfssl,linuxkm: add asm support for Kyber.,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
bf074d2b,wolfSSL/wolfssl,Merge pull request #7877 from SparkiDev/ml_dsa_ml_kem_final,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
ec958de6,wolfSSL/wolfssl,ASM generation fixes,D1,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
47612ee6,open-quantum-safe/liboqs,Update sig_stfl Doxygen documentation (#2059),D2,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
bd4d09da,open-quantum-safe/liboqs,Sync upstream with copy_from_upstram / pqcrystals pull (#891),D9,D5,false,low,Commit references memory management (D5) with 1 indicator(s).,llm_assisted_codebook_review
794f0d8d,wolfSSL/wolfssl,src/pk.c: add missing 'keySz = padded_keySz' in _DH_compute_key() ct cleanup path.,D7,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
a0f6b779,wolfSSL/wolfssl,-----BEGIN SPHINCS_SMALL_LEVEL1 PRIVATE KEY----- is the longest one at length 48,D1,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
9fd38bd7,aws/s2n-tls,feature: add support for configuring (but not yet using) ml-dsa certs (#5263),D9,D8,false,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
982c762c,open-quantum-safe/liboqs,Pull Kyber/ML-KEM CT-Fix from upstream,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
c338c89d,openssl/openssl,Provide aliases to ML-DSA without dashes,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
d93a431a,open-quantum-safe/liboqs,Add CROSS (#1881),D2,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
31153f02,open-quantum-safe/oqs-provider,Add pristine copies of source files from OQS-OpenSSL3,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
af841adf,openssl/openssl,ml_kem kem: convert to using generated param decoders,D9,D5,false,low,Commit references memory management (D5) with 1 indicator(s).,llm_assisted_codebook_review
4ff6f5f1,wolfSSL/wolfssl,ML-KEM/Kyber: fix out of bouds read,D1,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
7b21bd3b,open-quantum-safe/oqs-provider,bring GOVERNANCE in line with liboqs [skip ci] (#342),D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
075c60ce,open-quantum-safe/oqs-provider,Hybrid KEM support (#16),D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
8ca79021,wolfSSL/wolfssl,certs_test.h is using raw dilithium keys,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
a44bd12a,open-quantum-safe/liboqs,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
453404a8,wolfSSL/wolfssl,Get the falcon keys into wolfssl/certs_test.h,D9,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
969ad96d,wolfSSL/wolfssl,examples/{client;server}/{client;server}.c: remove spurious commas in --pqc help strings; and mollify clang-tidy bugprone-suspicious-missing-comma re --force-curve help strings. (#5480),D7,D9,false,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
ae0faa40,wolfSSL/wolfssl,Bugfix: wolfSSL_get_curve_name() will now print post-quantum group names.,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
b41d46a1,wolfSSL/wolfssl,src/ssl.c and src/ssl_load.c: fix syntax flubs in WOLFSSL_DILITHIUM_FIPS204_DRAFT paths.,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
f4821eb0,wolfSSL/wolfssl,Merge pull request #8827 from SparkiDev/ml_kem_codepoints,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
0ef373bd,openssl/openssl,rename ml_dsa_sig.c to ml_dsa_sig.c.in,D9,D2,false,low,Commit references API interface changes (D2) with 1 indicator(s).,llm_assisted_codebook_review
7dc61fe7,open-quantum-safe/oqs-provider,Cross-compile to linux-aarch64 from linux-x64 in GitHub actions. (#253),D8,D8,true,low,Commit references build/configuration (D8) with 1 indicator(s).,llm_assisted_codebook_review
0983ea9a,wolfSSL/wolfssl,pqc: fix memory type for shared secret storage server side,D9,D5,false,low,Commit references memory management (D5) with 1 indicator(s).,llm_assisted_codebook_review
bfad5398,wolfSSL/wolfssl,MSVC: replace UINT32_MAX with WOLFSSL_MAX_32BIT in dilithium.c,D9,D9,true,low,PQC-related commit but no specific defect category matched from message; classified as Other/Refactoring (D9).,llm_assisted_codebook_review
f1fff733,wolfSSL/wolfssl,tests/api.c: fix readability-uppercase-literal-suffix in rfc9802_verify_one_cert();,D2,D0,false,medium,Commit message is generic or merge-related; no defect-specific keywords found. Original label likely came from full PR context.,llm_assisted_codebook_review
f515916f,wolfSSL/wolfssl,Add liboqs integration to CMake build system (#5407),D8,D8,true,medium,Commit references build/configuration (D8) with 2 indicator(s).,llm_assisted_codebook_review
