trial_id,classical_algo,classical_operation,pqc_algo,pqc_operation,classical_success,pqc_success,classical_cycles,pqc_cycles,classical_stack_bytes,pqc_stack_bytes,completion_status_match,timing_ratio,stack_ratio,source
1,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33870045,2854773,1744,18032,true,0.084286,10.339450,hardware_serial
2,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33959288,2766253,1744,18032,true,0.081458,10.339450,hardware_serial
3,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33906100,2763918,1744,18032,true,0.081517,10.339450,hardware_serial
4,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33959562,2765853,1744,18032,true,0.081445,10.339450,hardware_serial
5,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33959995,2765900,1744,18032,true,0.081446,10.339450,hardware_serial
6,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33970396,2766050,1744,18032,true,0.081425,10.339450,hardware_serial
7,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,34010644,2767703,1744,18032,true,0.081378,10.339450,hardware_serial
8,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33871978,2764253,1744,18032,true,0.081609,10.339450,hardware_serial
9,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33966363,2767661,1744,18032,true,0.081482,10.339450,hardware_serial
10,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33964821,2764001,1744,18032,true,0.081378,10.339450,hardware_serial
11,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33970155,2767820,1744,18032,true,0.081478,10.339450,hardware_serial
12,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33943041,2764139,1744,18032,true,0.081435,10.339450,hardware_serial
13,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33871113,2766662,1744,18032,true,0.081682,10.339450,hardware_serial
14,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33910947,2765285,1744,18032,true,0.081545,10.339450,hardware_serial
15,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33876186,2767826,1744,18032,true,0.081704,10.339450,hardware_serial
16,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33911907,2762012,1744,18032,true,0.081447,10.339450,hardware_serial
17,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33842994,2767620,1744,18032,true,0.081778,10.339450,hardware_serial
18,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33998296,2764256,1744,18032,true,0.081306,10.339450,hardware_serial
19,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,34005240,2767469,1744,18032,true,0.081384,10.339450,hardware_serial
20,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33887433,2764271,1744,18032,true,0.081572,10.339450,hardware_serial
21,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33803001,2767568,1744,18032,true,0.081873,10.339450,hardware_serial
22,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33853891,2764352,1744,18032,true,0.081655,10.339450,hardware_serial
23,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33947226,2767367,1744,18032,true,0.081520,10.339450,hardware_serial
24,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33990129,2764190,1744,18032,true,0.081323,10.339450,hardware_serial
25,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33888429,2767583,1744,18032,true,0.081667,10.339450,hardware_serial
26,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33914484,2764286,1744,18032,true,0.081508,10.339450,hardware_serial
27,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33864189,2767373,1744,18032,true,0.081720,10.339450,hardware_serial
28,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33936429,2765579,1744,18032,true,0.081493,10.339450,hardware_serial
29,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33917532,2763845,1744,18032,true,0.081487,10.339450,hardware_serial
30,ECDH_P256,ComputeSecret,ML_KEM_768,Decaps,true,true,33824892,2766017,1744,18032,true,0.081775,10.339450,hardware_serial
