coding_id,repo,commit_sha,commit_date,commit_url,commit_message,llm_label,confidence,short_reason,source_pass
C001,wolfSSL/wolfssl,782787276cc5d14ae38dadebddb7144d7c2539a8,2026-05-20T11:24:09.000-07:00,https://github.com/wolfSSL/wolfssl/commit/782787276cc5d14ae38dadebddb7144d7c2539a8,Merge pull request #10497 from Frauschi/mldsa_rename,D9,high,Merge/rename-oriented ML-DSA change; no specific migration risk indicated.,gpt_5_5_high
C002,wolfSSL/wolfssl,2db2bedd5f032c7efde1510d9d1d05a6fd554c7a,2024-09-30T07:58:30.000-07:00,https://github.com/wolfSSL/wolfssl/commit/2db2bedd5f032c7efde1510d9d1d05a6fd554c7a,Merge pull request #8027 from SparkiDev/kyber_original_fix,D9,low,Vague Kyber fix from branch name; insufficient evidence for a specific D1-D8 risk.,gpt_5_5_high
C003,open-quantum-safe/liboqs,f5a044874d13dd15f9c67b59e74a61836c40f97b,2025-02-24T23:00:42.000+01:00,https://github.com/open-quantum-safe/liboqs/commit/f5a044874d13dd15f9c67b59e74a61836c40f97b,Ensure that building against liboqs build directory works (#2086),D8,high,Build-directory compatibility issue for liboqs integration.,gpt_5_5_high
C004,open-quantum-safe/liboqs,9cf6171007ae07eefa6c7f43aed964d4587c0914,2021-02-24T06:39:08.000+01:00,https://github.com/open-quantum-safe/liboqs/commit/9cf6171007ae07eefa6c7f43aed964d4587c0914,Dilithium 3.1 update; partially autogenerating docs (#923),D9,medium,Dilithium update plus autogenerated documentation work.,gpt_5_5_high
C005,open-quantum-safe/liboqs,aeac3a441dd3d95821b04a26baae6f73013538d8,2023-11-06T16:40:50.000-05:00,https://github.com/open-quantum-safe/liboqs/commit/aeac3a441dd3d95821b04a26baae6f73013538d8,Pull new HQC implementation from upstream (#1585),D9,medium,Upstream HQC implementation import/update without specific risk signal.,gpt_5_5_high
C006,wolfSSL/wolfssl,5b268c08523d00013da9f8b27e3a130a29526ae4,2022-03-15T16:36:08.000-07:00,https://github.com/wolfSSL/wolfssl/commit/5b268c08523d00013da9f8b27e3a130a29526ae4,Merge pull request #4960 from anhu/stm32_pq_bench,D4,medium,STM32 PQ benchmarking branch suggests runtime/performance measurement on embedded target.,gpt_5_5_high
C007,wolfSSL/wolfssl,074a3dbcc1712d5701ce6597f125c7a6deec59f5,2025-11-17T09:59:40.000+10:00,https://github.com/wolfSSL/wolfssl/commit/074a3dbcc1712d5701ce6597f125c7a6deec59f5,ML-KEM: derive secret fix,D7,medium,Secret derivation fix suggests cryptographic logic/validation correctness.,gpt_5_5_high
C008,wolfSSL/wolfssl,fc433b2596fec6d7c0b5e3c275ba5b872a22391c,2026-04-17T08:12:21.000+10:00,https://github.com/wolfSSL/wolfssl/commit/fc433b2596fec6d7c0b5e3c275ba5b872a22391c,ASM files: generation script refactor output,D9,high,Assembly generation-script output refactor.,gpt_5_5_high
C009,aws/s2n-tls,0888bdcdd0361994486fe9ebacba4f47cbe020e7,2019-04-24T11:22:08.000-07:00,https://github.com/aws/s2n-tls/commit/0888bdcdd0361994486fe9ebacba4f47cbe020e7,Add a readme for the post-quantum crypto directory,D9,high,README/documentation addition.,gpt_5_5_high
C010,wolfSSL/wolfssl,21484ec75afadee15485e272e307cbd77379e86a,2024-08-14T14:39:45.000-05:00,https://github.com/wolfSSL/wolfssl/commit/21484ec75afadee15485e272e307cbd77379e86a,linuxkm: add asm support for Kyber.,D8,medium,Linux kernel/module assembly support is platform-integration related.,gpt_5_5_high
C011,wolfSSL/wolfssl,bf074d2bb9e9a7d120ae0a57998aa76925b0bf3a,2024-08-26T16:48:05.000-04:00,https://github.com/wolfSSL/wolfssl/commit/bf074d2bb9e9a7d120ae0a57998aa76925b0bf3a,Merge pull request #7877 from SparkiDev/ml_dsa_ml_kem_final,D9,low,Generic final ML-DSA/ML-KEM merge with no clearer D1-D8 evidence.,gpt_5_5_high
C012,wolfSSL/wolfssl,ec958de64904d0f9bbb11dd90ad0f05e3f3cddc6,2026-03-20T11:55:37.000+10:00,https://github.com/wolfSSL/wolfssl/commit/ec958de64904d0f9bbb11dd90ad0f05e3f3cddc6,ASM generation fixes,D8,medium,Assembly generation fixes point to code-generation/build tooling compatibility.,gpt_5_5_high
C013,open-quantum-safe/liboqs,47612ee6d83231da92d5814fe5318e0512f06b41,2025-02-03T18:46:29.000+01:00,https://github.com/open-quantum-safe/liboqs/commit/47612ee6d83231da92d5814fe5318e0512f06b41,Update sig_stfl Doxygen documentation (#2059),D9,high,Doxygen documentation update.,gpt_5_5_high
C014,open-quantum-safe/liboqs,bd4d09da75e217a439e1f7790d7a064208c39d08,2021-02-04T15:46:45.000+01:00,https://github.com/open-quantum-safe/liboqs/commit/bd4d09da75e217a439e1f7790d7a064208c39d08,Sync upstream with copy_from_upstram / pqcrystals pull (#891),D9,medium,Upstream sync/pqcrystals pull; generic maintenance/update.,gpt_5_5_high
C015,wolfSSL/wolfssl,794f0d8d19c4ebb854f373e929201036e8aaada2,2024-09-27T00:27:20.000-05:00,https://github.com/wolfSSL/wolfssl/commit/794f0d8d19c4ebb854f373e929201036e8aaada2,src/pk.c: add missing 'keySz = padded_keySz' in _DH_compute_key() ct cleanup path.,D1,high,"Fixes key size value on cleanup path, indicating key-size mismatch risk.",gpt_5_5_high
C016,wolfSSL/wolfssl,a0f6b779a5ebf91432383a2aa6b4845666e05854,2025-06-19T17:58:49.000-04:00,https://github.com/wolfSSL/wolfssl/commit/a0f6b779a5ebf91432383a2aa6b4845666e05854,-----BEGIN SPHINCS_SMALL_LEVEL1 PRIVATE KEY----- is the longest one at length 48,D1,high,Commit explicitly concerns longest private-key string length.,gpt_5_5_high
C017,aws/s2n-tls,9fd38bd7b8c56fbcffa0fefbe2fe35c22269eecf,2025-04-23T14:01:11.000-07:00,https://github.com/aws/s2n-tls/commit/9fd38bd7b8c56fbcffa0fefbe2fe35c22269eecf,feature: add support for configuring (but not yet using) ml-dsa certs (#5263),D2,high,"Adds configuration support for ML-DSA certificates, an API/config agility concern.",gpt_5_5_high
C018,open-quantum-safe/liboqs,982c762c242ef549c914891b47bf6e0ed6321f91,2024-06-03T15:26:57.000+02:00,https://github.com/open-quantum-safe/liboqs/commit/982c762c242ef549c914891b47bf6e0ed6321f91,Pull Kyber/ML-KEM CT-Fix from upstream,D6,high,CT fix indicates constant-time/side-channel hardening.,gpt_5_5_high
C019,openssl/openssl,c338c89d1616646fc34c90c48ebbac4ab691ed11,2025-02-20T15:04:51.000+01:00,https://github.com/openssl/openssl/commit/c338c89d1616646fc34c90c48ebbac4ab691ed11,Provide aliases to ML-DSA without dashes,D2,medium,Algorithm aliases affect API naming/selection compatibility.,gpt_5_5_high
C020,open-quantum-safe/liboqs,d93a431aaf9ac929f267901509e968a5727c053c,2024-09-03T21:45:37.000+02:00,https://github.com/open-quantum-safe/liboqs/commit/d93a431aaf9ac929f267901509e968a5727c053c,Add CROSS (#1881),D8,high,CROSS support is cross-compilation/toolchain related.,gpt_5_5_high
C021,open-quantum-safe/oqs-provider,31153f025458cd6025e6b1546636d8bcaf873195,2021-01-29T06:26:54.000+01:00,https://github.com/open-quantum-safe/oqs-provider/commit/31153f025458cd6025e6b1546636d8bcaf873195,Add pristine copies of source files from OQS-OpenSSL3,D9,high,Adds pristine source copies; generic integration/maintenance.,gpt_5_5_high
