coding_id,repo,commit_sha,commit_message,gemini_label,gpt55_label,deepseek_label,claude_label,claude_confidence,claude_reason,majority_3plus_label,plurality_label,agreement_count_max,all_four_agree,at_least_three_agree,two_two_tie,all_four_different
C007,wolfSSL/wolfssl,074a3dbcc1712d5701ce6597f125c7a6deec59f5,ML-KEM: derive secret fix,D9,D7,D9,D9,low,Vague fix to secret derivation; no clear defect category stated.,D9,D9,3,false,true,false,false
C010,wolfSSL/wolfssl,21484ec75afadee15485e272e307cbd77379e86a,linuxkm: add asm support for Kyber.,D8,D8,D9,D4,low,Adding assembly support is typically a performance optimization.,,D8,2,false,false,false,false
C012,wolfSSL/wolfssl,ec958de64904d0f9bbb11dd90ad0f05e3f3cddc6,ASM generation fixes,D8,D8,D8,D9,low,Vague fix to generation tooling; insufficient detail on defect type.,D8,D8,3,false,true,false,false
C015,wolfSSL/wolfssl,794f0d8d19c4ebb854f373e929201036e8aaada2,src/pk.c: add missing 'keySz = padded_keySz' in _DH_compute_key() ct cleanup path.,D6,D1,D6,D6,medium,Missing-assignment fix located explicitly in a constant-time (ct) cleanup path.,D6,D6,3,false,true,false,false
C017,aws/s2n-tls,9fd38bd7b8c56fbcffa0fefbe2fe35c22269eecf,feature: add support for configuring (but not yet using) ml-dsa certs (#5263),D2,D2,D8,D2,medium,Adds configuration support for enabling ML-DSA certs; algorithm-config related.,D2,D2,3,false,true,false,false
C019,openssl/openssl,c338c89d1616646fc34c90c48ebbac4ab691ed11,Provide aliases to ML-DSA without dashes,D2,D2,D9,D2,low,Adds alternate algorithm-name aliases; relevant to algorithm identification/selection.,D2,D2,3,false,true,false,false
C020,open-quantum-safe/liboqs,d93a431aaf9ac929f267901509e968a5727c053c,Add CROSS (#1881),D9,D8,D9,D9,high,Adding a new algorithm (CROSS); generic feature addition.,D9,D9,3,false,true,false,false
C022,openssl/openssl,af841adf9fb0aedbc047ba8b59a5437ed21a89b8,ml_kem kem: convert to using generated param decoders,D9,D2,D9,D2,low,Refactors parameter decoding used for ML-KEM provider parameter handling.,,,2,false,false,true,false
C030,wolfSSL/wolfssl,ae0faa40cf6460f8640a47c9ce55c3abcdd04c2d,Bugfix: wolfSSL_get_curve_name() will now print post-quantum group names.,D2,D2,D9,D2,low,Bug in an API that reports the negotiated PQC group/curve name.,D2,D2,3,false,true,false,false
C031,wolfSSL/wolfssl,b41d46a15833616028c33487c3902e2c843cf740,src/ssl.c and src/ssl_load.c: fix syntax flubs in WOLFSSL_DILITHIUM_FIPS204_DRAFT paths.,D9,D8,D9,D8,medium,Fixing syntax errors in a conditional compile path; build-breaking issue.,,,2,false,false,true,false
