coding_id,repo,commit_message,gemini_label,gpt55_label,deepseek_label,claude_label,majority_3plus_label,agreement_count_max
C001,wolfSSL/wolfssl,Merge pull request #10497 from Frauschi/mldsa_rename,D9,D9,D9,D9,D9,4
C002,wolfSSL/wolfssl,Merge pull request #8027 from SparkiDev/kyber_original_fix,D9,D9,D9,D9,D9,4
C003,open-quantum-safe/liboqs,Ensure that building against liboqs build directory works (#2086),D8,D8,D8,D8,D8,4
C004,open-quantum-safe/liboqs,Dilithium 3.1 update	 partially autogenerating docs (#923),D9,D9,D9,D9,D9,4
C005,open-quantum-safe/liboqs,Pull new HQC implementation from upstream (#1585),D9,D9,D9,D9,D9,4
C006,wolfSSL/wolfssl,Merge pull request #4960 from anhu/stm32_pq_bench,D4,D4,D4,D4,D4,4
C007,wolfSSL/wolfssl,ML-KEM: derive secret fix,D9,D7,D9,D9,D9,3
C008,wolfSSL/wolfssl,ASM files: generation script refactor output,D9,D9,D9,D9,D9,4
C009,aws/s2n-tls,Add a readme for the post-quantum crypto directory,D9,D9,D9,D9,D9,4
C010,wolfSSL/wolfssl,linuxkm: add asm support for Kyber.,D8,D8,D9,D4,NO_3PLUS_MAJORITY,2
C011,wolfSSL/wolfssl,Merge pull request #7877 from SparkiDev/ml_dsa_ml_kem_final,D9,D9,D9,D9,D9,4
C012,wolfSSL/wolfssl,ASM generation fixes,D8,D8,D8,D9,D8,3
C013,open-quantum-safe/liboqs,Update sig_stfl Doxygen documentation (#2059),D9,D9,D9,D9,D9,4
C014,open-quantum-safe/liboqs,Sync upstream with copy_from_upstram / pqcrystals pull (#891),D9,D9,D9,D9,D9,4
C015,wolfSSL/wolfssl,src/pk.c: add missing 'keySz = padded_keySz' in _DH_compute_key() ct cleanup path.,D6,D1,D6,D6,D6,3
C016,wolfSSL/wolfssl,-----BEGIN SPHINCS_SMALL_LEVEL1 PRIVATE KEY----- is the longest one at length 48,D1,D1,D1,D1,D1,4
C017,aws/s2n-tls,feature: add support for configuring (but not yet using) ml-dsa certs (#5263),D2,D2,D8,D2,D2,3
C018,open-quantum-safe/liboqs,Pull Kyber/ML-KEM CT-Fix from upstream,D6,D6,D6,D6,D6,4
C019,openssl/openssl,Provide aliases to ML-DSA without dashes,D2,D2,D9,D2,D2,3
C020,open-quantum-safe/liboqs,Add CROSS (#1881),D9,D8,D9,D9,D9,3
C021,open-quantum-safe/oqs-provider,Add pristine copies of source files from OQS-OpenSSL3,D9,D9,D9,D9,D9,4
C022,openssl/openssl,ml_kem kem: convert to using generated param decoders,D9,D2,D9,D2,NO_3PLUS_MAJORITY,2
C023,wolfSSL/wolfssl,ML-KEM/Kyber: fix out of bouds read,D1,D1,D1,D1,D1,4
C024,open-quantum-safe/oqs-provider,bring GOVERNANCE in line with liboqs [skip ci] (#342),D9,D9,D9,D9,D9,4
C025,open-quantum-safe/oqs-provider,Hybrid KEM support (#16),D2,D2,D2,D2,D2,4
C026,wolfSSL/wolfssl,certs_test.h is using raw dilithium keys,D9,D9,D9,D9,D9,4
C027,open-quantum-safe/liboqs,Merge branch 'master' of https://github.com/open-quantum-safe/liboqs,D9,D9,D9,D9,D9,4
C028,wolfSSL/wolfssl,Get the falcon keys into wolfssl/certs_test.h,D9,D9,D9,D9,D9,4
C029,wolfSSL/wolfssl,examples/{client	server}/{client	server}.c: remove spurious commas in --pqc help strings	 and mollify clang-tidy bugprone-suspicious-missing-comma re --force-curve help strings. (#5480),D9,D9,D9,D9,D9,4
C030,wolfSSL/wolfssl,Bugfix: wolfSSL_get_curve_name() will now print post-quantum group names.,D2,D2,D9,D2,D2,3
C031,wolfSSL/wolfssl,src/ssl.c and src/ssl_load.c: fix syntax flubs in WOLFSSL_DILITHIUM_FIPS204_DRAFT paths.,D9,D8,D9,D8,NO_3PLUS_MAJORITY,2
C032,wolfSSL/wolfssl,Merge pull request #8827 from SparkiDev/ml_kem_codepoints,D2,D2,D9,D2,D2,3
C033,openssl/openssl,rename ml_dsa_sig.c to ml_dsa_sig.c.in,D9,D9,D9,D8,D9,3
C034,open-quantum-safe/oqs-provider,Cross-compile to linux-aarch64 from linux-x64 in GitHub actions. (#253),D8,D8,D8,D8,D8,4
C035,wolfSSL/wolfssl,pqc: fix memory type for shared secret storage server side,D5,D5,D5,D5,D5,4
C036,wolfSSL/wolfssl,MSVC: replace UINT32_MAX with WOLFSSL_MAX_32BIT in dilithium.c,D8,D8,D8,D8,D8,4
C037,wolfSSL/wolfssl,tests/api.c: fix readability-uppercase-literal-suffix in rfc9802_verify_one_cert(),D9,D9,D9,D9,D9,4
C038,wolfSSL/wolfssl,Add liboqs integration to CMake build system (#5407),D8,D8,D8,D8,D8,4
C039,wolfSSL/wolfssl,Rust wrapper: dilithium: remove unnecessary size define presence checks,D1,D9,D9,D9,D9,3
C040,wolfSSL/wolfssl,Fix implicit conversion.,D8,D8,D9,D8,D8,3
C041,aws/s2n-tls,Add more test cases for multiple certificates by name,D9,D9,D9,D9,D9,4
C042,wolfSSL/wolfssl,Merge pull request #4856 from anhu/stm32u5,D8,D8,D8,D8,D8,4
C043,open-quantum-safe/liboqs,Merge pull request #486 from dmjones/link-openssl,D8,D8,D8,D8,D8,4
C044,wolfSSL/wolfssl,Merge pull request #8360 from philljj/dual_alg_mldsa,D2,D2,D2,D2,D2,4
C045,open-quantum-safe/oqs-provider,Full OQS project integration (#1),D8,D8,D9,D9,NO_3PLUS_MAJORITY,2
C046,wolfSSL/wolfssl,Kyber/ML-KEM: make both available,D2,D2,D2,D2,D2,4
C047,open-quantum-safe/oqs-provider,remove default Kyber and Dilithium support (#603),D2,D2,D2,D2,D2,4
C048,open-quantum-safe/liboqs,Adding multiple upstream support to doc generation (#1123),D9,D9,D9,D9,D9,4
C049,open-quantum-safe/liboqs,Dependabot configuration and dependency updates (#2420),D8,D8,D8,D8,D8,4
C050,wolfSSL/wolfssl,Fix memory leak in case of handshake error,D5,D5,D5,D5,D5,4
C051,openssl/openssl,fips: defined for ML-KEM CASTs,D8,D8,D9,D9,NO_3PLUS_MAJORITY,2
C052,wolfSSL/wolfssl,wolfCrypt support for external Kyber implementations (liboqs and pqm4),D8,D2,D2,D2,D2,3
C053,wolfSSL/wolfssl,Kyber: Improve performance of C implementation,D4,D4,D4,D4,D4,4
C054,open-quantum-safe/liboqs,Trigger liboqs-java and liboqs-rust downstream CI (#2021),D8,D8,D8,D8,D8,4
C055,wolfSSL/wolfssl,Fix PQC hybrid KeyShare pointer sanity.,D7,D7,D7,D7,D7,4
C056,aws/s2n-tls,Add Kyber Round 2 TLS Security Policy (#2138),D9,D9,D2,D2,NO_3PLUS_MAJORITY,2
C057,open-quantum-safe/liboqs,Merge pull request #521 from open-quantum-safe/ds-sphincs,D9,D9,D9,D9,D9,4
C058,open-quantum-safe/liboqs,Fix SPHINCS+ constant-time suppression files (#1480),D6,D6,D6,D6,D6,4
C059,openssl/openssl,Test ML-DSA	 SLH-DSA	 and ML-KEM PCT implementations,D9,D9,D9,D9,D9,4
C060,openssl/openssl,ml_dsa_kmgmt: check params against len and not pointers in ml_dsa_key_fromdata,D1,D7,D7,D7,D7,3
C061,wolfSSL/wolfssl,liboqs: add RNG support for sphincs,D2,D2,D9,D9,NO_3PLUS_MAJORITY,2
C062,open-quantum-safe/liboqs,liboqs 0.6.0-rc1,D9,D9,D9,D9,D9,4
C063,wolfSSL/wolfssl,ML-KEM fixes,D9,D9,D9,D9,D9,4
C064,open-quantum-safe/liboqs,Include DeriveEncapsulation functionality (Issue #2135) (#2221),D2,D2,D2,D9,D2,3
C065,wolfSSL/wolfssl,WolfSSL Kyber and CMake fixes,D8,D8,D8,D8,D8,4
C066,wolfSSL/wolfssl,Correct kyber levels. Was copy and paste error.,D9,D7,D7,D1,NO_3PLUS_MAJORITY,2
C067,open-quantum-safe/liboqs,Merge pull request #539 from open-quantum-safe/vsoftco-update-contributors,D9,D9,D9,D9,D9,4
C068,wolfSSL/wolfssl,Merge pull request #10407 from Frauschi/Wconversion,D8,D8,D8,D8,D8,4
C069,open-quantum-safe/oqs-provider,Remove SPHINCS+ (#740),D9,D2,D2,D2,D2,3
C070,wolfSSL/wolfssl,Fix PQC key exchange with multiple KEM key shares,D2,D2,D9,D2,D2,3
C071,wolfSSL/wolfssl,wolfcrypt/src/wc_kyber_poly.c: fix bugprone-macro-parentheses for FROM_MSG_BIT.,D9,D8,D9,D9,D9,3
C072,openssl/openssl,Drop value barrier from ML-DSA reduce_once,D4,D6,D4,D6,NO_3PLUS_MAJORITY,2
C073,wolfSSL/wolfssl,Merge pull request #10310 from cconlon/d2iMLDSA,D9,D2,D2,D9,NO_3PLUS_MAJORITY,2
C074,openssl/openssl,Fix ML-KEM key equality check when either unset,D7,D7,D7,D7,D7,4
C075,wolfSSL/wolfssl,cryptocb: always run software cleanup in key Free functions,D5,D5,D5,D5,D5,4
C076,openssl/openssl,ML-DSA: Change ossl_ml_dsa_key_public_from_private() to check that the,D7,D7,D7,D7,D7,4
C077,openssl/openssl,Teach SSL_trace() about ML-DSA,D9,D9,D9,D9,D9,4
C078,open-quantum-safe/liboqs,Update Kyber and Dilithium from upstream (#1316),D9,D9,D9,D9,D9,4
C079,open-quantum-safe/liboqs,Test against all 100 KAT values (#1560),D9,D9,D9,D9,D9,4
C080,aws/s2n-tls,Add ML-KEM Feature Probe and Test (#4823),D9,D8,D9,D9,D9,3
C081,wolfSSL/wolfssl,Fix for liboqs on zephyr,D8,D8,D8,D8,D8,4
C082,wolfSSL/wolfssl,Merge pull request #8207 from bigbrett/dilithium-nightly-fixes,D9,D9,D9,D8,D9,3
C083,wolfSSL/wolfssl,Merge pull request #6576 from iyanmv/liboqs-1.8,D9,D8,D8,D8,D8,3
C084,wolfSSL/wolfssl,liboqs depends on pthreads now,D8,D8,D8,D8,D8,4
C085,wolfSSL/wolfssl,add _new/_delete API for ML-KEM/ML-DSA,D5,D2,D2,D5,NO_3PLUS_MAJORITY,2
C086,open-quantum-safe/liboqs,Merge pull request #524 from open-quantum-safe/ds-backout-ledakem,D9,D2,D9,D9,D9,3
C087,wolfSSL/wolfssl,Merge pull request #7677 from Laboratory-for-Safe-and-Secure-Systems/mldsa_fixes,D9,D9,D9,D9,D9,4
